UserName,Date,Start rating,Review or Comment,Link
editorBoi,2019-10-16T16:36:15.000Z,none,i fucking love this guy,Nil
EmmaLWF,2019-10-09T21:56:49.000Z,none,You talk really fast and it gets difficult to follow. Great content and great videos!! Keep going!! (but please talk more calm so don´t have to stop the video to digest what you are saying!!) 🙏🏼🙏🏼🙏🏼,Nil
Quantic,2019-10-08T12:04:28.000Z,none,"I'll have my first onsite interview ever next week.. with Amazon! I already know I'm probably going to bomb it because I lack interview experiences, but this video really inspired me to continue studying and learning!
The key is not to be scared of failure.
Thanks for the video!",Nil
wazir purya,2019-10-01T09:19:53.000Z,none,it's a very informative video thank you bro,Nil
Luke Ivanov,2019-09-24T19:40:37.000Z,none,For a freshman to be taking Data Structure and Algorithms courses and getting an internship as a Freshman means you're pretty dang smart. Cheers mate! :),Nil
Hhh 26,2019-09-24T14:34:05.000Z,none,"This video was so helpful, I can’t even put it into words. You’ve got a new subscriber bro.",Nil
daienzd,2019-09-20T12:14:43.000Z,none,you're an efing good speaker bro,Nil
babolat435,2019-09-17T08:19:48.000Z,none,"Go to every event.. reach out to my network. What a wanker, you’re just an annoying freshman to people in the real world.",Nil
Say my name? Harambe,2019-09-15T13:41:40.000Z,none,"How do you speak very well, i envy this kind of softskill",Nil
CupOfWhiskey,2019-09-12T01:05:42.000Z,none,"Can you explain the process of an internship interview? Like you said there are 3 rounds or so, like what did you have to do and such",Nil
Rowena Solar,2019-09-06T18:00:25.000Z,none,Hi! I am a student and I wanna ask I want to do some projects on my resume but I do not know who I can ask,Nil
um ok,2019-09-05T22:15:44.000Z,none,I saw the intro and subscribed :D,Nil
Danielle Newhouse,2019-09-05T02:54:56.000Z,none,I started with Salesforce development for my first industry job too :),Nil
song song,2019-09-01T10:49:46.000Z,none,Conclusion: using people,Nil
Rasul Amirov,2019-08-30T08:03:42.000Z,none,"wow, this video really inspired me! thank u",Nil
Ilyas,2019-08-28T09:04:30.000Z,none,"I just came across your channel, I already love it. :D
Could you ever make a video going more in detail about side projects? If you’re not the most connected (which at least at my college applies to almost every CS student), it’s kinda hard to come up with ideas from scratch. I and probably many others would really appreciate some help getting started with the first few projects. :)",Nil
Zoe Dawkins,2019-08-27T21:21:49.000Z,none,brilliant.,Nil
NoCureForBad,2019-08-26T04:21:37.000Z,none,Thank you for this video!!,Nil
Thong Pham,2019-08-23T12:55:04.000Z,none,"I relly love it one ""Rejections cost you nothing"", Huge Respect bro .",Nil
gear0614,2019-08-22T09:07:18.000Z,none,"When you applied to 100+ different companies, how did you make those searches? Google? If so what key words? Job posting website? If so which? Did you just apply to everything under software engineering intern?",Nil
