UserName,Date,Start rating,Review or Comment,Link
Chris Jereza,2019-08-04T22:55:39.000Z,none,"Who's gonna be in ""Day In The Life of a ____ intern #93856?"" Throw out your guesses.

UPDATE: just made a video about how I passed the technical interview! Check it out here: https://youtu.be/lDTKnzrX6qU

And lastly... How to Make a ""Day In The Life"" video: https://youtu.be/EvhZMatc230",Nil
Francesco Gorini,2019-10-19T01:26:03.000Z,none,"Fuck on last year of comp sci, To be honest this doesn't look that good :(. I like coding but i don't think i like the corporate envoirment",Nil
Jhordan Gamboa,2019-10-19T01:14:31.000Z,none,All day with the laptop. Omg,Nil
Storq,2019-10-18T15:25:08.000Z,none,"bruh 15 , 13 inch mac, and a gaming desktop PC, and 2 phones, bruh come on",Nil
claptonslash100,2019-10-18T10:02:05.000Z,none,The video is hilarious and cute!! :),Nil
Sâm Nguyễn,2019-10-18T01:02:43.000Z,none,3:50 :)) what the f* hacker typer =)),Nil
Varun Manjunath,2019-10-17T13:25:45.000Z,none,What a horrible life,Nil
ralph95,2019-10-16T09:38:49.000Z,none,Better crossover than MCU,Nil
Vivek Chauhan,2019-10-14T14:49:38.000Z,none,"This video is like a big slap to tech lead,...lol",Nil
Varma Cephas,2019-10-13T00:18:00.000Z,none,"Hey dude
What is the name of the software you use to make your beats",Nil
Khoa Nguyễn Đăng,2019-10-12T13:13:16.000Z,none,can give link your ear phone ? I like it and want to have one,Nil
Juan Mendez,2019-10-12T06:23:51.000Z,none,In every video millennials eat while starring to a device. Eat then work. Savor food.,Nil
Manjil Ghimire,2019-10-10T07:29:08.000Z,none,3:48 He is using hackertyper.com to look cool lol,Nil
Ali Choudhry,2019-10-09T22:55:15.000Z,none,Flexes abbs in mirror as hard as possible lmfao sit down little man,Nil
amber despair,2019-10-09T19:26:13.000Z,none,"one of the best ""day in the life of"" i've ever seen",Nil
Jonas Kgomo,2019-10-09T19:10:16.000Z,none,How much productivity in one day man? What's the secret,Nil
Danimal Kingdom,2019-10-09T00:39:00.000Z,none,Everyone has these kinds of videos now... I should make one,Nil
Jin Tao,2019-10-08T21:29:19.000Z,none,A pro youtuber pretended to be a newbie in Joma's video > <,Nil
Mouhamadou Der,2019-10-08T17:28:21.000Z,none,I was thinking it's only me who put my computer aside when i'm eating !,Nil
Bryan Cabrera,2019-10-08T14:19:57.000Z,none,Here for the CS videos and all but... what brand boots are those lol. They’re dope af,Nil
