UserName,Date,Start rating,Review or Comment,Link
Jagajeet Kuppala,2019-10-21T12:01:36.000Z,none,"Love the way she listens with interest.. Eve though she isn't interested ♥️

So she won.. now do the role reversal video",Nil
Hussam Adil,2019-10-21T11:59:55.000Z,none,Next video: the best algorithm to store your girlfriend as a software engineer.,Nil
keithrig,2019-10-21T11:58:15.000Z,none,You should do more shows with Meghan...Now my wife likes to watch with me since it not just a computer guy doing magic tricks.,Nil
NELOY SINHA,2019-10-21T11:33:00.000Z,none,"First ""squirtle"" ,then ""Smashing""..dudes layin hints",Nil
Sean Francis Ballais,2019-10-21T11:21:40.000Z,none,"A salute to Clement for having a girlfriend. Quite a madlad. *salutes* Teach us your ways, sensei!",Nil
Arkodeep Ghosh,2019-10-21T11:17:54.000Z,none,"the autofocus in the last part is like ""fck clement i am gonna focus on his gf""",Nil
SimGunther,2019-10-21T11:13:46.000Z,none,11:34 An even better way to describe it is a rebranded mainframe so we can keep selling people technology from the 1960s for...some reason,Nil
TUSHAR YADAV,2019-10-21T10:35:05.000Z,none,"spent more time with your girlfriend , so she does not complain about you .",Nil
Antoniyan Turimatsov,2019-10-21T09:52:35.000Z,none,He has to change the color of his hair ;d,Nil
Amogh Mishra,2019-10-21T09:52:16.000Z,none,"Turn the table. She will ask the questions in her forte and you'll answer. Fair enough, I guess.",Nil
Ashish k,2019-10-21T09:35:58.000Z,none,"Next video must be on , how to have cute girlfriend !",Nil
The struggling engineer,2019-10-21T08:36:30.000Z,none,Next video :- how my non coding girlfriend keep tracks of all my chat history on WhatsApp ?,Nil
myself ChaRAn,2019-10-21T08:22:38.000Z,none,Hey Clement can you suggest any software engineering project which uses backend also?,Nil
Sonu Khan,2019-10-21T07:59:36.000Z,none,Impossible,Nil
Jan Horák,2019-10-21T07:50:05.000Z,none,Golddigger,Nil
Broken Native,2019-10-21T07:49:17.000Z,none,The techleadis jealous,Nil
Dennis DNO,2019-10-21T07:28:34.000Z,none,You worked on GCP??,Nil
prajapati shivendra,2019-10-21T07:25:08.000Z,none,she is looking like ur sis....,Nil
Balaji Kamalesh,2019-10-21T07:11:30.000Z,none,"How many ""single"" Programmers here?
👇",Nil
Vinay Singh,2019-10-21T06:23:57.000Z,none,Dude better keep ur code and girlfriend separate. Only go ahead if u want a breakup. Coding is big turn off for girls...make a video about what else u can do except coding with ur girlfriend.,Nil
