UserName,Date,Start rating,Review or Comment,Link
T. Trujillo,"October 24, 2018",5.0 out of 5 stars,Love it!,/gp/customer-reviews/R3PIEQ7WF9RBQV/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00SI0MCL4
Lois J. Coleman,"August 25, 2017",5.0 out of 5 stars,BEST HAIR PRODUCT EVER,/gp/customer-reviews/RFP7HK3AN2W4P/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00SI0MCL4
carol sutherland,"July 5, 2015",5.0 out of 5 stars,Five Stars,/gp/customer-reviews/R1B6J67X6UOTHR/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00SI0MCL4
Nyanhaa,"December 24, 2018",5.0 out of 5 stars,Wonderful product,/gp/customer-reviews/RLWLOL84NW47X/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00SI0MCL4
Laurel Harper,"April 13, 2014",5.0 out of 5 stars,Shining Armor - Renewing Argan Treatment Oil,/gp/customer-reviews/R322KV1KPCEUQK/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00SI0MCL4
Juli,"July 1, 2016",5.0 out of 5 stars,Five Stars,/gp/customer-reviews/R1XPNJUU9DR6VI/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00SI0MCL4
Max&Lani,"November 5, 2015",5.0 out of 5 stars,I like this for my hair,/gp/customer-reviews/RX136U1Q28W7K/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00SI0MCL4
Linda Miller,"May 24, 2016",4.0 out of 5 stars,Four Stars,/gp/customer-reviews/R1PU1JZHAKV2RS/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00SI0MCL4
Tamara A. Amburn,"July 31, 2017",4.0 out of 5 stars,Four Stars,/gp/customer-reviews/R3RWLIUOQ7N285/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00SI0MCL4
Amelia Cornejo,"July 23, 2017",5.0 out of 5 stars,Five Stars,/gp/customer-reviews/R3VT4S4IHZ2KLZ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00SI0MCL4
